LfdNr;AGS;Gemeindename;Amt-AGS-VB;Veränderung-Wert;Veränderungen;Veränderung-Level;Mittel-2006-2013;Maximum;Maximum-Niveau;Berliner-Umland;Abstand-BAB;Pkw-Fahrzeit-zum-nächsten-BAB-Anschluß-2012;Grad-der-Verstädterung;Grad-GV100-Bezeichnung;Code-Amt-Typ;Amt-Stadt-und-Gemeindetyp;Code-Status;Amt-Status;Fläche-km2;Arbeitslose-2014;Bevölkerungsentwicklung-2008-2013;Entwicklung-der-erwerbsfähigen-Bevölkerung-2008-2013;Entwicklung-der-sozialversicherungspflichtig-Beschäftigten-2008-2013;Entwicklung-der-Arbeitslosenquote;Bevölkerung-2014;AL-Bev;Bev-dichte;Betriebe-pro-km2;WZ3-05-2;WZ3-06-1;WZ3-07-2;WZ3-08-1;WZ3-08-9;WZ3-10-1;WZ3-10-2;WZ3-10-3;WZ3-10-4;WZ3-10-5;WZ3-10-6;WZ3-10-7;WZ3-10-8;WZ3-10-9;WZ3-11-0;WZ3-12-0;WZ3-13-1;WZ3-13-2;WZ3-13-3;WZ3-13-9;WZ3-14-1;WZ3-14-2;WZ3-15-1;WZ3-15-2;WZ3-16-1;WZ3-16-2;WZ3-17-1;WZ3-17-2;WZ3-18-1;WZ3-18-2;WZ3-19-2;WZ3-20-1;WZ3-20-2;WZ3-20-3;WZ3-20-4;WZ3-20-5;WZ3-20-6;WZ3-21-1;WZ3-21-2;WZ3-22-1;WZ3-22-2;WZ3-23-1;WZ3-23-2;WZ3-23-3;WZ3-23-4;WZ3-23-5;WZ3-23-6;WZ3-23-7;WZ3-23-9;WZ3-24-1;WZ3-24-2;WZ3-24-3;WZ3-24-4;WZ3-24-5;WZ3-25-1;WZ3-25-2;WZ3-25-3;WZ3-25-4;WZ3-25-5;WZ3-25-6;WZ3-25-7;WZ3-25-9;WZ3-26-1;WZ3-26-2;WZ3-26-3;WZ3-26-4;WZ3-26-5;WZ3-26-6;WZ3-26-7;WZ3-27-1;WZ3-27-2;WZ3-27-3;WZ3-27-4;WZ3-27-5;WZ3-27-9;WZ3-28-1;WZ3-28-2;WZ3-28-3;WZ3-28-4;WZ3-28-9;WZ3-29-1;WZ3-29-2;WZ3-29-3;WZ3-30-1;WZ3-30-2;WZ3-30-3;WZ3-30-9;WZ3-31-0;WZ3-32-1;WZ3-32-2;WZ3-32-3;WZ3-32-4;WZ3-32-5;WZ3-32-9;WZ3-33-1;WZ3-33-2;WZ3-35-1;WZ3-35-2;WZ3-35-3;WZ3-36-0;WZ3-37-0;WZ3-38-1;WZ3-38-2;WZ3-38-3;WZ3-39-0;WZ3-41-1;WZ3-41-2;WZ3-42-1;WZ3-42-2;WZ3-42-9;WZ3-43-1;WZ3-43-2;WZ3-43-3;WZ3-43-9;WZ3-45-1;WZ3-45-2;WZ3-45-3;WZ3-45-4;WZ3-46-1;WZ3-46-2;WZ3-46-3;WZ3-46-4;WZ3-46-5;WZ3-46-6;WZ3-46-7;WZ3-46-9;WZ3-47-1;WZ3-47-2;WZ3-47-3;WZ3-47-4;WZ3-47-5;WZ3-47-6;WZ3-47-7;WZ3-47-8;WZ3-47-9;WZ3-49-1;WZ3-49-2;WZ3-49-3;WZ3-49-4;WZ3-49-5;WZ3-50-3;WZ3-50-4;WZ3-51-1;WZ3-51-2;WZ3-52-1;WZ3-52-2;WZ3-53-2;WZ3-55-1;WZ3-55-2;WZ3-55-3;WZ3-55-9;WZ3-56-1;WZ3-56-2;WZ3-56-3;WZ3-58-1;WZ3-58-2;WZ3-59-1;WZ3-59-2;WZ3-60-1;WZ3-60-2;WZ3-61-1;WZ3-61-2;WZ3-61-3;WZ3-61-9;WZ3-62-0;WZ3-63-1;WZ3-63-9;WZ3-64-1;WZ3-64-2;WZ3-64-3;WZ3-64-9;WZ3-65-1;WZ3-65-2;WZ3-66-1;WZ3-66-2;WZ3-66-3;WZ3-68-1;WZ3-68-2;WZ3-68-3;WZ3-69-1;WZ3-69-2;WZ3-70-1;WZ3-70-2;WZ3-71-1;WZ3-71-2;WZ3-72-1;WZ3-72-2;WZ3-73-1;WZ3-73-2;WZ3-74-1;WZ3-74-2;WZ3-74-3;WZ3-74-9;WZ3-75-0;WZ3-77-1;WZ3-77-2;WZ3-77-3;WZ3-77-4;WZ3-78-1;WZ3-78-2;WZ3-78-3;WZ3-79-1;WZ3-79-9;WZ3-80-1;WZ3-80-2;WZ3-80-3;WZ3-81-1;WZ3-81-2;WZ3-81-3;WZ3-82-1;WZ3-82-2;WZ3-82-3;WZ3-82-9;WZ3-85-1;WZ3-85-2;WZ3-85-3;WZ3-85-4;WZ3-85-5;WZ3-85-6;WZ3-86-1;WZ3-86-2;WZ3-86-9;WZ3-87-1;WZ3-87-2;WZ3-87-3;WZ3-87-9;WZ3-88-1;WZ3-88-9;WZ3-90-0;WZ3-91-0;WZ3-92-0;WZ3-93-1;WZ3-93-2;WZ3-94-1;WZ3-94-2;WZ3-94-9;WZ3-95-1;WZ3-95-2;WZ3-96-0;Summe-Betriebe
1;12051000;Brandenburg an der Havel, Stadt;120510000;1;positiv;1;1;1;niedrig;Nein;1;bis unter 15 Minuten;1;dicht besiedelt;2;Mittelstadt;4;schrumpfend;229.71;4,893;-1.87;-4.38;1.62;-3.4;71032;6.89%;309.22;11.64;0;0;0;0;0;2;0;0;0;0;0;5;0;0;0;0;0;0;0;2;0;0;0;0;1;8;0;2;9;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;6;2;0;3;0;2;0;0;13;0;0;0;0;11;3;3;1;1;0;0;2;2;0;1;0;1;0;0;3;2;3;0;0;8;0;0;2;2;0;0;0;3;0;0;2;1;8;1;10;2;18;2;0;1;0;0;2;3;2;6;21;5;3;4;11;125;141;53;32;38;13;4;17;2;6;7;2;8;27;4;41;40;13;22;58;30;159;6;26;0;0;27;32;0;2;4;0;0;1;16;15;18;7;4;1;126;22;17;3;1;3;0;0;1;2;1;0;3;37;11;7;7;1;0;0;4;0;6;47;0;8;93;35;62;36;15;20;134;12;2;1;32;1;3;10;2;18;5;5;8;16;0;1;10;3;15;0;1;0;5;18;44;19;9;4;1;15;8;1;8;1;27;0;4;143;40;3;0;5;3;14;34;15;3;5;23;5;4;0;26;5;14;110;2673
2;12052000;Cottbus, Stadt;120520000;0;konstant;0;0;0;leer;Nein;1;bis unter 15 Minuten;1;dicht besiedelt;2;Mittelstadt;4;schrumpfend;165.15;5,856;-0.33;-4.3;-5.37;-3.8;99491;5.89%;602.43;27.03;1;0;0;1;0;6;0;0;0;0;0;19;1;0;0;0;0;0;2;3;3;1;1;0;0;14;0;0;12;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;1;0;6;5;1;0;0;0;0;0;9;2;0;0;0;5;1;5;0;2;1;0;1;1;1;2;0;0;2;0;0;2;3;3;0;2;0;1;1;0;0;0;0;8;1;0;1;1;17;2;8;9;31;2;5;0;4;4;8;4;0;13;21;10;8;2;9;169;155;79;59;80;22;4;69;1;12;30;9;18;34;11;53;59;5;39;84;54;237;10;46;1;1;50;50;0;0;0;1;0;0;25;21;21;2;0;1;164;30;31;6;2;6;1;2;2;14;0;0;5;57;2;25;14;3;0;0;12;0;17;75;0;9;179;79;85;94;21;50;272;10;15;2;44;0;5;7;13;29;8;6;3;20;2;14;29;8;18;0;18;1;2;39;58;30;13;9;12;55;14;1;9;6;63;0;4;252;90;8;0;5;4;23;52;23;1;8;39;14;12;7;56;2;17;221;4464
3;12053000;Frankfurt (Oder), Stadt;120530000;1;positiv  mit Wechsel;1;1.5;2;niedrig;Nein;1;bis unter 15 Minuten;1;dicht besiedelt;2;Mittelstadt;5;stark schrumpfend;147.85;4,150;-4.06;-7.43;-4.66;-1.58;57649;7.20%;389.92;16.35;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;3;0;1;0;0;0;0;11;0;0;4;0;1;2;0;0;0;0;0;1;0;0;4;1;0;0;0;0;1;4;0;0;0;0;0;0;8;0;0;0;0;4;2;2;8;0;1;0;1;1;1;0;0;0;0;0;2;0;3;0;1;1;0;0;0;2;1;1;0;0;0;2;0;0;8;0;1;2;14;2;2;1;0;2;4;4;1;3;14;5;4;2;3;102;112;43;37;46;19;3;25;2;9;14;7;9;15;4;34;30;6;32;48;26;113;6;38;0;2;23;32;0;0;0;0;0;2;29;19;15;0;2;0;82;15;10;4;0;3;0;2;2;6;1;0;3;25;0;20;10;0;1;0;7;0;8;33;0;7;90;53;79;43;12;20;79;8;4;0;22;3;4;6;12;10;2;6;4;12;0;4;8;0;12;0;13;1;1;13;33;13;4;8;3;22;7;1;7;3;35;1;3;135;49;10;0;9;2;11;27;13;5;8;26;3;7;3;35;4;10;106;2418
4;12054000;Potsdam, Stadt;120540000;2;hohes Niveau;3;6;7;hoch;Ja;1;bis unter 15 Minuten;1;dicht besiedelt;1;Großstadt;1;stark wachsend;188.25;6,375;6.34;3.15;6.71;-1.43;164042;3.89%;871.41;43.14;0;0;0;1;0;6;0;0;0;2;0;6;5;1;2;0;0;0;2;2;9;0;2;0;0;13;0;1;18;4;0;0;0;0;1;1;0;1;2;0;4;3;0;0;1;0;4;8;0;0;0;0;3;0;10;1;0;0;1;10;2;3;2;3;2;1;10;1;1;2;0;0;0;0;4;0;1;1;1;2;0;1;0;5;0;0;2;5;6;6;0;1;29;3;7;5;50;5;5;2;3;5;10;5;0;8;35;9;7;3;11;231;275;111;55;75;26;7;111;2;10;31;6;9;44;11;84;65;12;69;98;64;353;9;74;0;1;80;42;0;9;0;0;0;7;30;45;44;17;1;2;324;77;30;29;11;76;2;4;3;5;1;0;4;254;12;57;26;8;0;1;13;0;27;97;1;26;318;181;279;124;53;279;458;25;51;7;95;1;58;29;21;108;14;21;12;25;4;15;30;9;38;5;20;1;8;48;106;46;37;11;28;135;26;7;25;12;157;1;10;335;138;16;0;11;3;31;84;257;13;12;72;41;30;11;176;3;26;339;8122
5;12060005;Ahrensfelde;120600005;0;konstant mit Wechsel;0;1;1;niedrig;Ja;1;bis unter 15 Minuten;2;mittlere Besiedlungsdichte;3;Größere Kleinstadt;4;schrumpfend;57.96;240;-0.65;-5.43;4.72;-2.04;12856;1.87%;221.81;13.79;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;2;5;0;0;0;1;0;3;1;0;3;7;1;3;3;2;59;61;33;12;26;4;1;20;0;5;4;1;2;7;1;14;11;6;8;14;10;26;1;10;0;0;3;22;0;1;0;0;0;1;6;9;7;1;0;0;20;8;1;4;0;2;0;0;0;2;0;0;0;17;2;1;1;0;0;0;0;0;2;8;0;0;28;13;6;11;1;16;25;2;1;0;12;0;1;0;0;3;3;3;2;1;0;1;1;0;5;0;3;0;1;8;21;8;1;0;10;6;0;1;0;0;8;0;0;13;10;1;0;0;0;7;1;13;0;1;2;6;0;0;6;1;4;20;799
6;12060012;Althüttendorf;120605006;0;konstant;0;0;0;leer;Nein;1;bis unter 15 Minuten;3;gering besiedelt;5;Landgemeinde;4;schrumpfend;18.78;29;0.95;1.36;-25.83;-6.81;675;4.30%;35.94;1.38;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;2;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;26
7;12060020;Bernau bei Berlin, Stadt;120600020;-1;negativ;-1;1;1;niedrig;Ja;1;bis unter 15 Minuten;2;mittlere Besiedlungsdichte;2;Mittelstadt;1;stark wachsend;104.16;1,642;2.37;-2.91;7.95;-3.59;36547;4.49%;350.87;15.84;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;1;8;0;1;4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;4;3;0;0;0;0;1;0;6;1;0;0;0;9;0;2;0;0;0;0;0;0;0;0;0;1;1;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;3;0;2;1;20;0;1;0;1;2;3;3;1;4;22;0;5;1;6;90;98;71;21;36;8;2;33;1;0;0;1;6;8;3;25;13;5;12;36;17;71;6;14;0;1;17;17;0;0;0;0;0;0;11;14;4;0;0;0;58;8;6;1;1;1;0;0;0;2;0;0;1;22;2;8;6;0;0;0;1;0;2;23;0;3;48;37;30;30;9;24;66;7;5;0;15;1;1;3;1;7;6;0;1;6;0;2;2;0;7;0;6;0;0;26;29;14;3;1;4;18;8;3;5;1;18;0;5;70;36;8;0;2;2;14;15;14;1;4;12;8;0;0;17;2;9;67;1650
8;12060024;Biesenthal, Stadt;120605003;0;konstant;0;0;0;leer;Nein;1;bis unter 15 Minuten;3;gering besiedelt;4;Kleine Kleinstadt;1;stark wachsend;60.92;228;1.69;-2.65;14.88;-3.31;5632;4.05%;92.45;4.19;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;3;1;0;0;0;21;18;14;3;7;2;0;3;1;0;2;0;0;0;0;6;2;2;2;6;1;10;0;2;0;0;2;1;0;0;0;0;0;0;0;3;1;1;0;0;8;2;2;0;0;0;0;0;0;1;0;0;0;5;0;0;1;0;0;0;0;0;0;1;0;0;8;5;2;1;0;5;2;2;0;0;1;1;1;0;0;1;2;0;0;3;0;0;0;0;0;0;1;0;0;4;4;2;0;0;6;1;4;0;1;0;1;0;0;6;4;3;0;2;0;2;2;5;0;0;1;2;0;0;1;1;2;16;255
9;12060034;Breydin;120605003;0;konstant;0;1;1;niedrig;Nein;2;15 bis unter 30 Minuten;3;gering besiedelt;4;Kleine Kleinstadt;1;stark wachsend;35.28;36;1.69;-2.65;14.88;-3.31;799;4.51%;22.65;0.71;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;25
10;12060036;Britz;120605011;0;konstant;0;0;0;leer;Nein;1;bis unter 15 Minuten;3;gering besiedelt;5;Landgemeinde;5;stark schrumpfend;15.5;90;-4.66;-6.26;-26.88;-6.18;2132;4.22%;137.55;5.16;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;9;9;3;0;2;0;0;1;0;0;0;0;0;0;0;3;0;0;1;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;1;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;4;1;1;0;1;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;1;0;1;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;80
