REG;ID;AGS;AGS-Bezeichnung
1;1;11001001;Mitte
1;2;11002002;Friedrichshain-Kreuzberg
1;3;11003003;Pankow
1;4;11004004;Charlottenburg-Wilmersdorf
1;5;11005005;Spandau
1;6;11006006;Steglitz-Zehlendorf
1;7;11007007;Tempelhof-Schöneberg
1;8;11008008;Neukölln
1;9;11009009;Treptow-Köpenick
1;10;11010010;Marzahn-Hellersdorf
1;11;11011011;Lichtenberg
1;12;11012012;Reinickendorf
3;132;12051000;Brandenburg an der Havel, Stadt
3;18;12052000;Cottbus, Stadt
3;321;12053000;Frankfurt (Oder), Stadt
2;35;12054000;Potsdam, Stadt
2;222;12060005;Ahrensfelde
3;409;12060012;Althüttendorf
2;95;12060020;Bernau bei Berlin, Stadt
3;405;12060024;Biesenthal, Stadt
3;257;12060034;Breydin
3;255;12060036;Britz
3;44;12060045;Chorin
3;39;12060052;Eberswalde, Stadt
3;106;12060068;Friedrichswalde
3;66;12060092;Hohenfinow
3;412;12060100;Joachimsthal, Stadt
3;265;12060128;Liepe
3;363;12060149;Lunow-Stolzenhagen
3;378;12060154;Marienwerder
3;235;12060161;Melchow
3;110;12060172;Niederfinow
3;402;12060176;Oderberg, Stadt
2;186;12060181;Panketal
3;269;12060185;Parsteinsee
3;153;12060192;Rüdnitz
3;417;12060198;Schorfheide
3;118;12060250;Sydower Fließ
2;396;12060269;Wandlitz
2;180;12060280;Werneuchen, Stadt
3;271;12060296;Ziethen
3;345;12061005;Alt Zauche-Wußwerk
3;115;12061017;Bersteland
3;408;12061020;Bestensee
3;311;12061061;Byhleguhre-Byhlen
3;227;12061097;Drahnsdorf
2;397;12061112;Eichwalde
3;200;12061164;Golßen, Stadt
3;399;12061192;Groß Köris
3;50;12061216;Halbe
3;198;12061217;Heidesee
3;183;12061219;Heideblick
3;43;12061224;Jamlitz
3;189;12061244;Kasel-Golzig
2;407;12061260;Königs Wusterhausen, Stadt
3;121;12061265;Krausnick-Groß Wasserburg
3;348;12061308;Lieberose, Stadt
3;261;12061316;Lübben (Spreewald), Stadt
3;197;12061320;Luckau, Stadt
3;119;12061328;Märkisch Buchholz, Stadt
3;246;12061329;Märkische Heide
2;253;12061332;Mittenwalde, Stadt
3;135;12061344;Münchehofe
3;312;12061352;Neu Zauche
3;181;12061405;Rietzneuendorf-Staakow
3;123;12061428;Schlepzig
2;92;12061433;Schönefeld
3;90;12061435;Schönwald
2;138;12061444;Schulzendorf
3;234;12061448;Schwerin
3;278;12061450;Schwielochsee
3;354;12061470;Spreewaldheide
3;155;12061471;Steinreich
3;40;12061476;Straupitz
3;400;12061492;Teupitz, Stadt
3;109;12061510;Unterspreewald
2;80;12061540;Wildau
