AGS5;AGS;AGS-Bezeichnung;WZ3;WZ1-Code;WZ2-Code;WZ3-CodeNeu;WZ3-Code;WZ3-Name;insgesamt;SvB_0_bis_9;SvB_10_bis_49;SvB_50_bis_249;SvB_250_und_mehr
12072;12072120;Großbeeren;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;9;2;4;2;1
12072;12072240;Ludwigsfelde,Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;8;4;1;3;0
12054;12054000;Potsdam,Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;7;6;1;0;0
12069;12069656;Werder(Havel),Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;5;2;2;1;0
12061;12061260;Königs Wusterhausen,Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;4;4;0;0;0
12063;12063357;Wustermark;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;4;2;1;1;0
12060;12060052;Eberswalde, Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;3;3;0;0;0
12060;12060280;Werneuchen,Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;3;2;1;0;0
12063;12063036;Brieselang;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;3;3;0;0;0
12065;12065332;Velten,Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;3;2;1;0;0
12053;12053000;Frankfurt(Oder),Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;2;1;0;1;0
12061;12061540;Wildau;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;2;1;1;0;0
12064;12064227;Hoppegarten;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;2;2;0;0;0
12065;12065225;Mühlenbecker Land;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;2;1;1;0;0
12065;12065256;Oranienburg,Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;2;0;1;0;1
12067;12067120;Eisenhüttenstadt, Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;2;1;1;0;0
12067;12067473;Steinhöfel;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;2;2;0;0;0
12070;12070316;Pritzwalk,Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;2;2;0;0;0
12073;12073452;Prenzlau,Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;2;2;0;0;0
12051;12051000;Brandenburg an der Havel,Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;1;0;0;0
12060;12060005;Ahrensfelde;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;0;0;1;0
12060;12060034;Breydin;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;1;0;0;0
12060;12060269;Wandlitz;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;1;0;0;0
12061;12061265;Krausnick-Groß Wasserburg;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;1;0;0;0
12061;12061433;Schönefeld;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;0;1;0;0
12061;12061444;Schulzendorf;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;1;0;0;0
12061;12061572;Zeuthen;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;1;0;0;0
12063;12063134;Havelaue;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;1;0;0;0
12063;12063208;Nauen,Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;0;1;0;0
12063;12063260;Rhinow,Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;1;0;0;0
