AGS5;AGS;AGS-Bezeichnung;WZ3;WZ1-Code;WZ2-Code;WZ3-CodeNeu;WZ3-Code;WZ3-Name;insgesamt;SvB_0_bis_9;SvB_10_bis_49;SvB_50_bis_249;SvB_250_und_mehr;ID
11001;11001001;Mitte;;;;;;;20966;18503;1805;518;140;1
11002;11002002;Friedrichshain-Kreuzberg;;;;;;;14637;13503;902;181;51;2
11003;11003003;Pankow;;;;;;;17887;16867;818;170;32;3
11004;11004004;Charlottenburg-Wilmersdorf;;;;;;;25727;23647;1652;357;71;4
11005;11005005;Spandau;;;;;;;6645;6097;429;96;23;5
11006;11006006;Steglitz-Zehlendorf;;;;;;;13415;12576;650;153;36;6
11007;11007007;Tempelhof-Schöneberg;;;;;;;16215;14901;1010;259;45;7
11008;11008008;Neukölln;;;;;;;9214;8525;536;132;21;8
11009;11009009;Treptow-Köpenick;;;;;;;9717;8994;566;135;22;9
11010;11010010;Marzahn-Hellersdorf;;;;;;;7317;6743;461;99;14;10
11011;11011011;Lichtenberg;;;;;;;7177;6532;474;139;32;11
11012;11012012;Reinickendorf;;;;;;;8921;8080;615;183;43;12
51000;12051000;Brandenburg an der Havel, Stadt;;;;;;;2692;2337;290;54;11;132
52000;12052000;Cottbus, Stadt;;;;;;;4544;3952;451;122;19;18
53000;12053000;Frankfurt (Oder), Stadt;;;;;;;2589;2239;264;70;16;321
54000;12054000;Potsdam, Stadt;;;;;;;7483;6611;639;200;33;35
60005;12060005;Ahrensfelde;;;;;;;764;683;62;19;0;222
60012;12060012;Althüttendorf;;;;;;;36;33;2;1;0;409
60020;12060020;Bernau bei Berlin, Stadt;;;;;;;1542;1383;135;21;3;95
60024;12060024;Biesenthal, Stadt;;;;;;;245;228;14;3;0;405
60034;12060034;Breydin;;;;;;;24;21;2;1;0;257
60036;12060036;Britz;;;;;;;80;73;6;0;1;255
60045;12060045;Chorin;;;;;;;86;80;6;0;0;44
60052;12060052;Eberswalde, Stadt;;;;;;;1503;1296;160;42;5;39
60068;12060068;Friedrichswalde;;;;;;;40;40;0;0;0;106
60092;12060092;Hohenfinow;;;;;;;21;21;0;0;0;66
60100;12060100;Joachimsthal, Stadt;;;;;;;160;152;6;2;0;412
60128;12060128;Liepe;;;;;;;16;15;1;0;0;265
60149;12060149;Lunow-Stolzenhagen;;;;;;;36;34;2;0;0;363
60154;12060154;Marienwerder;;;;;;;93;87;6;0;0;378
60161;12060161;Melchow;;;;;;;30;28;2;0;0;235
60172;12060172;Niederfinow;;;;;;;32;29;3;0;0;110
60176;12060176;Oderberg, Stadt;;;;;;;80;79;0;1;0;402
60181;12060181;Panketal;;;;;;;822;795;26;1;0;186
60185;12060185;Parsteinsee;;;;;;;19;18;1;0;0;269
60192;12060192;Rüdnitz;;;;;;;65;64;1;0;0;153
60198;12060198;Schorfheide;;;;;;;493;449;38;5;1;417
60250;12060250;Sydower Fließ;;;;;;;27;26;1;0;0;118
60269;12060269;Wandlitz;;;;;;;1107;1050;52;5;0;396
60280;12060280;Werneuchen, Stadt;;;;;;;371;331;36;4;0;180
60296;12060296;Ziethen;;;;;;;22;20;1;1;0;271
61005;12061005;Alt Zauche-Wußwerk;;;;;;;20;19;1;0;0;345
61017;12061017;Bersteland;;;;;;;47;40;4;3;0;115
61020;12061020;Bestensee;;;;;;;262;243;16;2;1;408
61061;12061061;Byhleguhre-Byhlen;;;;;;;21;18;3;0;0;311
61097;12061097;Drahnsdorf;;;;;;;17;17;0;0;0;227
61112;12061112;Eichwalde;;;;;;;310;295;14;1;0;397
61164;12061164;Golßen, Stadt;;;;;;;119;103;12;3;1;200
61192;12061192;Groß Köris;;;;;;;102;98;4;0;0;399
61216;12061216;Halbe;;;;;;;105;94;8;2;1;50
61217;12061217;Heidesee;;;;;;;308;286;20;2;0;198
61219;12061219;Heideblick;;;;;;;113;106;7;0;0;183
61224;12061224;Jamlitz;;;;;;;13;12;1;0;0;43
61244;12061244;Kasel-Golzig;;;;;;;25;21;2;2;0;189
61260;12061260;Königs Wusterhausen, Stadt;;;;;;;1499;1349;118;31;1;407
61265;12061265;Krausnick-Groß Wasserburg;;;;;;;24;19;5;0;0;121
61308;12061308;Lieberose, Stadt;;;;;;;62;59;3;0;0;348
61316;12061316;Lübben (Spreewald), Stadt;;;;;;;722;644;62;14;2;261
61320;12061320;Luckau, Stadt;;;;;;;497;425;62;10;0;197
61328;12061328;Märkisch Buchholz, Stadt;;;;;;;30;30;0;0;0;119
61329;12061329;Märkische Heide;;;;;;;166;151;15;0;0;246
61332;12061332;Mittenwalde, Stadt;;;;;;;406;356;35;13;2;253
61344;12061344;Münchehofe;;;;;;;9;8;1;0;0;135
61352;12061352;Neu Zauche;;;;;;;48;43;4;1;0;312
61405;12061405;Rietzneuendorf-Staakow;;;;;;;14;14;0;0;0;181
61428;12061428;Schlepzig;;;;;;;31;28;3;0;0;123
61433;12061433;Schönefeld;;;;;;;839;733;71;27;8;92
61435;12061435;Schönwald;;;;;;;42;39;3;0;0;90
61444;12061444;Schulzendorf;;;;;;;273;268;4;1;0;138
61448;12061448;Schwerin;;;;;;;34;33;1;0;0;234
61450;12061450;Schwielochsee;;;;;;;98;93;4;1;0;278
61470;12061470;Spreewaldheide;;;;;;;9;9;0;0;0;354
61471;12061471;Steinreich;;;;;;;10;10;0;0;0;155
61476;12061476;Straupitz;;;;;;;35;32;3;0;0;40
61492;12061492;Teupitz, Stadt;;;;;;;109;104;4;0;1;400
61510;12061510;Unterspreewald;;;;;;;55;50;4;1;0;109
61540;12061540;Wildau;;;;;;;528;440;71;17;0;80
61572;12061572;Zeuthen;;;;;;;484;458;22;4;0;184
62024;12062024;Bad Liebenwerda, Stadt;;;;;;;506;457;43;6;0;239
62088;12062088;Crinitz;;;;;;;75;71;4;0;0;187
62092;12062092;Doberlug-Kirchhain, Stadt;;;;;;;366;334;28;4;0;211
62124;12062124;Elsterwerda, Stadt;;;;;;;463;385;65;12;1;103
62128;12062128;Falkenberg/Elster, Stadt;;;;;;;253;224;24;5;0;91
62134;12062134;Fichtwald;;;;;;;31;29;2;0;0;373
62140;12062140;Finsterwalde, Stadt;;;;;;;753;671;65;16;1;388
62177;12062177;Gorden-Staupitz;;;;;;;21;20;1;0;0;143
62196;12062196;Gröden;;;;;;;53;51;1;1;0;233
62208;12062208;Großthiemig;;;;;;;27;23;3;1;0;232
62219;12062219;Heideland;;;;;;;15;14;1;0;0;210
62224;12062224;Herzberg (Elster), Stadt;;;;;;;507;445;48;13;1;178
62232;12062232;Hirschfeld;;;;;;;54;50;3;1;0;272
62237;12062237;Hohenbucko;;;;;;;33;31;2;0;0;214
62240;12062240;Hohenleipisch;;;;;;;68;64;4;0;0;238
62282;12062282;Kremitzaue;;;;;;;23;22;1;0;0;258
62289;12062289;Lebusa;;;;;;;30;28;2;0;0;17
62293;12062293;Lichterfeld-Schacksdorf;;;;;;;43;40;3;0;0;429
62333;12062333;Massen-Niederlausitz;;;;;;;160;135;19;6;0;372
62336;12062336;Merzdorf;;;;;;;20;18;1;1;0;168
62341;12062341;Mühlberg/Elbe, Stadt;;;;;;;147;141;5;1;0;154
62372;12062372;Plessa;;;;;;;85;79;6;0;0;140
62410;12062410;Röderland;;;;;;;144;126;16;2;0;23
62417;12062417;Rückersdorf;;;;;;;42;37;5;0;0;209
62425;12062425;Sallgast;;;;;;;47;43;4;0;0;113
62440;12062440;Schilda;;;;;;;6;6;0;0;0;256
62445;12062445;Schlieben, Stadt;;;;;;;117;109;6;2;0;430
62453;12062453;Schönborn;;;;;;;54;48;6;0;0;117
62461;12062461;Schönewalde, Stadt;;;;;;;132;122;10;0;0;78
62464;12062464;Schraden;;;;;;;15;11;4;0;0;21
62469;12062469;Sonnewalde, Stadt;;;;;;;143;133;8;2;0;270
62492;12062492;Tröbitz;;;;;;;36;27;8;1;0;208
62500;12062500;Uebigau-Wahrenbrück, Stadt;;;;;;;175;158;11;5;1;96
63036;12063036;Brieselang;;;;;;;378;340;30;6;2;193
63056;12063056;Dallgow-Döberitz;;;;;;;387;356;27;4;0;89
63080;12063080;Falkensee, Stadt;;;;;;;1695;1588;87;18;2;73
63088;12063088;Friesack, Stadt;;;;;;;109;100;7;1;1;216
63094;12063094;Gollenberg;;;;;;;10;10;0;0;0;229
63112;12063112;Großderschau;;;;;;;15;14;1;0;0;174
63134;12063134;Havelaue;;;;;;;29;29;0;0;0;161
63142;12063142;Wiesenaue;;;;;;;20;20;0;0;0;212
63148;12063148;Ketzin/Havel, Stadt;;;;;;;239;213;22;4;0;203
63161;12063161;Kleßen-Görne;;;;;;;9;9;0;0;0;52
63165;12063165;Kotzen;;;;;;;13;13;0;0;0;36
63186;12063186;Märkisch Luch;;;;;;;38;34;4;0;0;67
63189;12063189;Milower Land;;;;;;;168;165;3;0;0;204
63202;12063202;Mühlenberge;;;;;;;22;19;3;0;0;47
63208;12063208;Nauen, Stadt;;;;;;;687;600;70;14;3;100
63212;12063212;Nennhausen;;;;;;;81;79;2;0;0;70
63228;12063228;Paulinenaue;;;;;;;41;37;4;0;0;236
63240;12063240;Pessin;;;;;;;25;25;0;0;0;19
63244;12063244;Premnitz, Stadt;;;;;;;305;264;32;9;0;81
63252;12063252;Rathenow, Stadt;;;;;;;1150;1033;92;22;3;160
63256;12063256;Retzow;;;;;;;21;19;2;0;0;120
63260;12063260;Rhinow, Stadt;;;;;;;103;93;9;1;0;173
63273;12063273;Schönwalde-Glien;;;;;;;345;319;21;5;0;88
63274;12063274;Seeblick;;;;;;;37;36;1;0;0;28
63293;12063293;Stechow-Ferchesar;;;;;;;37;37;0;0;0;51
63357;12063357;Wustermark;;;;;;;278;236;28;13;1;192
64009;12064009;Alt Tucheband;;;;;;;20;20;0;0;0;359
64029;12064029;Altlandsberg, Stadt;;;;;;;422;394;24;3;1;13
64044;12064044;Bad Freienwalde (Oder), Stadt;;;;;;;539;491;38;10;0;124
64053;12064053;Beiersdorf-Freudenberg;;;;;;;57;54;2;1;0;84
64057;12064057;Bleyen-Genschmar;;;;;;;7;7;0;0;0;325
64061;12064061;Bliesdorf;;;;;;;21;18;1;2;0;281
64084;12064084;Buckow (Märkische Schweiz), Stadt;;;;;;;94;89;4;1;0;225
64125;12064125;Falkenberg;;;;;;;67;62;4;1;0;217
64128;12064128;Falkenhagen (Mark);;;;;;;29;27;2;0;0;329
64130;12064130;Fichtenhöhe;;;;;;;10;10;0;0;0;289
64136;12064136;Fredersdorf-Vogelsdorf;;;;;;;634;579;45;10;0;398
64153;12064153;Garzau-Garzin;;;;;;;17;17;0;0;0;387
64172;12064172;Golzow;;;;;;;41;41;0;0;0;343
64190;12064190;Gusow-Platkow;;;;;;;38;35;3;0;0;284
64205;12064205;Heckelberg-Brunow;;;;;;;23;22;1;0;0;30
64222;12064222;Höhenland;;;;;;;36;34;2;0;0;111
64227;12064227;Hoppegarten;;;;;;;910;804;84;20;2;383
64266;12064266;Küstriner Vorland;;;;;;;69;62;6;1;0;324
64268;12064268;Lebus, Stadt;;;;;;;136;125;11;0;0;361
64274;12064274;Letschin;;;;;;;138;129;8;1;0;290
64288;12064288;Lietzen;;;;;;;23;20;2;1;0;282
64290;12064290;Lindendorf;;;;;;;39;35;3;1;0;357
64303;12064303;Märkische Höhe;;;;;;;19;19;0;0;0;128
64317;12064317;Müncheberg, Stadt;;;;;;;306;283;18;4;1;293
64336;12064336;Neuenhagen bei Berlin;;;;;;;836;778;45;13;0;148
64340;12064340;Neuhardenberg;;;;;;;96;88;6;2;0;317
64349;12064349;Neulewin;;;;;;;32;31;1;0;0;320
64365;12064365;Neutrebbin;;;;;;;61;57;3;1;0;352
64370;12064370;Oberbarnim;;;;;;;52;51;1;0;0;263
64371;12064371;Oderaue;;;;;;;50;48;2;0;0;346
64380;12064380;Petershagen/Eggersdorf;;;;;;;583;562;21;0;0;390
64388;12064388;Podelzig;;;;;;;14;14;0;0;0;287
64393;12064393;Prötzel;;;;;;;33;30;3;0;0;242
64408;12064408;Rehfelde;;;;;;;199;188;9;2;0;262
64417;12064417;Reichenow-Möglin;;;;;;;17;17;0;0;0;251
64420;12064420;Reitwein;;;;;;;16;16;0;0;0;327
64428;12064428;Rüdersdorf bei Berlin;;;;;;;681;596;74;9;2;59
64448;12064448;Seelow, Stadt;;;;;;;271;243;23;4;1;342
64472;12064472;Strausberg, Stadt;;;;;;;1103;977;105;19;2;389
64480;12064480;Treplin;;;;;;;21;21;0;0;0;283
64482;12064482;Vierlinden;;;;;;;65;57;8;0;0;360
64484;12064484;Waldsieversdorf;;;;;;;36;34;1;1;0;277
64512;12064512;Wriezen, Stadt;;;;;;;297;275;19;3;0;347
64538;12064538;Zechin;;;;;;;9;9;0;0;0;340
64539;12064539;Zeschdorf;;;;;;;39;38;1;0;0;45
