"Datenbasis";"Wirtschaftszweig (WZ2008)";"Berichtsjahr";"Region";"Beschäftigtengrößenklassen";"Zählen";
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"Berlin";"0  bis     9";58;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"Berlin";"10  bis   49";15;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"Berlin";"50  bis 249";4;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"Berlin";"250 und mehr";2;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"Brandenburg";"0  bis     9";62;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"Brandenburg";"10  bis   49";33;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"Brandenburg";"50  bis 249";21;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"Brandenburg";"250 und mehr";8;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"00 Berlin ohne Bezirkszuordnung";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"00 Berlin ohne Bezirkszuordnung";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"00 Berlin ohne Bezirkszuordnung";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"00 Berlin ohne Bezirkszuordnung";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"01 Mitte";"0  bis     9";8;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"01 Mitte";"10  bis   49";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"01 Mitte";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"01 Mitte";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"02 Friedrichshain-Kreuzberg";"0  bis     9";3;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"02 Friedrichshain-Kreuzberg";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"02 Friedrichshain-Kreuzberg";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"02 Friedrichshain-Kreuzberg";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"03 Pankow";"0  bis     9";4;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"03 Pankow";"10  bis   49";2;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"03 Pankow";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"03 Pankow";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"04 Charlottenburg-Wilmersdorf";"0  bis     9";10;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"04 Charlottenburg-Wilmersdorf";"10  bis   49";2;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"04 Charlottenburg-Wilmersdorf";"50  bis 249";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"04 Charlottenburg-Wilmersdorf";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"05 Spandau";"0  bis     9";4;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"05 Spandau";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"05 Spandau";"50  bis 249";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"05 Spandau";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"06 Steglitz-Zehlendorf";"0  bis     9";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"06 Steglitz-Zehlendorf";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"06 Steglitz-Zehlendorf";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"06 Steglitz-Zehlendorf";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"07 Tempelhof-Schöneberg";"0  bis     9";9;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"07 Tempelhof-Schöneberg";"10  bis   49";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"07 Tempelhof-Schöneberg";"50  bis 249";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"07 Tempelhof-Schöneberg";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"08 Neukölln";"0  bis     9";2;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"08 Neukölln";"10  bis   49";4;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"08 Neukölln";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"08 Neukölln";"250 und mehr";2;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"09 Treptow-Köpenick";"0  bis     9";4;
