"Datenbasis";"Berichtsjahr";"Region";"Beschäftigtengrößenklassen";"Zählen";
"Anzahl  Niederlassungen";"2018";"Berlin";"0  bis     9";172569;
"Anzahl  Niederlassungen";"2018";"Berlin";"10  bis   49";15546;
"Anzahl  Niederlassungen";"2018";"Berlin";"50  bis 249";3553;
"Anzahl  Niederlassungen";"2018";"Berlin";"250 und mehr";748;
"Anzahl  Niederlassungen";"2018";"Brandenburg";"0  bis     9";95594;
"Anzahl  Niederlassungen";"2018";"Brandenburg";"10  bis   49";10455;
"Anzahl  Niederlassungen";"2018";"Brandenburg";"50  bis 249";2348;
"Anzahl  Niederlassungen";"2018";"Brandenburg";"250 und mehr";310;
"Anzahl  Niederlassungen";"2018";"00 Berlin ohne Bezirkszuordnung";"0  bis     9";215;
"Anzahl  Niederlassungen";"2018";"00 Berlin ohne Bezirkszuordnung";"10  bis   49";2;
"Anzahl  Niederlassungen";"2018";"00 Berlin ohne Bezirkszuordnung";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"00 Berlin ohne Bezirkszuordnung";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"01 Mitte";"0  bis     9";24251;
"Anzahl  Niederlassungen";"2018";"01 Mitte";"10  bis   49";3223;
"Anzahl  Niederlassungen";"2018";"01 Mitte";"50  bis 249";869;
"Anzahl  Niederlassungen";"2018";"01 Mitte";"250 und mehr";210;
"Anzahl  Niederlassungen";"2018";"02 Friedrichshain-Kreuzberg";"0  bis     9";18874;
"Anzahl  Niederlassungen";"2018";"02 Friedrichshain-Kreuzberg";"10  bis   49";1679;
"Anzahl  Niederlassungen";"2018";"02 Friedrichshain-Kreuzberg";"50  bis 249";356;
"Anzahl  Niederlassungen";"2018";"02 Friedrichshain-Kreuzberg";"250 und mehr";69;
"Anzahl  Niederlassungen";"2018";"03 Pankow";"0  bis     9";20985;
"Anzahl  Niederlassungen";"2018";"03 Pankow";"10  bis   49";1313;
"Anzahl  Niederlassungen";"2018";"03 Pankow";"50  bis 249";267;
"Anzahl  Niederlassungen";"2018";"03 Pankow";"250 und mehr";63;
"Anzahl  Niederlassungen";"2018";"04 Charlottenburg-Wilmersdorf";"0  bis     9";26373;
"Anzahl  Niederlassungen";"2018";"04 Charlottenburg-Wilmersdorf";"10  bis   49";2357;
"Anzahl  Niederlassungen";"2018";"04 Charlottenburg-Wilmersdorf";"50  bis 249";506;
"Anzahl  Niederlassungen";"2018";"04 Charlottenburg-Wilmersdorf";"250 und mehr";88;
"Anzahl  Niederlassungen";"2018";"05 Spandau";"0  bis     9";6975;
"Anzahl  Niederlassungen";"2018";"05 Spandau";"10  bis   49";538;
"Anzahl  Niederlassungen";"2018";"05 Spandau";"50  bis 249";146;
"Anzahl  Niederlassungen";"2018";"05 Spandau";"250 und mehr";33;
"Anzahl  Niederlassungen";"2018";"06 Steglitz-Zehlendorf";"0  bis     9";13309;
"Anzahl  Niederlassungen";"2018";"06 Steglitz-Zehlendorf";"10  bis   49";869;
"Anzahl  Niederlassungen";"2018";"06 Steglitz-Zehlendorf";"50  bis 249";182;
"Anzahl  Niederlassungen";"2018";"06 Steglitz-Zehlendorf";"250 und mehr";40;
"Anzahl  Niederlassungen";"2018";"07 Tempelhof-Schöneberg";"0  bis     9";16918;
"Anzahl  Niederlassungen";"2018";"07 Tempelhof-Schöneberg";"10  bis   49";1593;
"Anzahl  Niederlassungen";"2018";"07 Tempelhof-Schöneberg";"50  bis 249";340;
"Anzahl  Niederlassungen";"2018";"07 Tempelhof-Schöneberg";"250 und mehr";75;
"Anzahl  Niederlassungen";"2018";"08 Neukölln";"0  bis     9";11458;
"Anzahl  Niederlassungen";"2018";"08 Neukölln";"10  bis   49";856;
"Anzahl  Niederlassungen";"2018";"08 Neukölln";"50  bis 249";164;
"Anzahl  Niederlassungen";"2018";"08 Neukölln";"250 und mehr";33;
"Anzahl  Niederlassungen";"2018";"09 Treptow-Köpenick";"0  bis     9";10189;
"Anzahl  Niederlassungen";"2018";"09 Treptow-Köpenick";"10  bis   49";912;
"Anzahl  Niederlassungen";"2018";"09 Treptow-Köpenick";"50  bis 249";187;
"Anzahl  Niederlassungen";"2018";"09 Treptow-Köpenick";"250 und mehr";28;
"Anzahl  Niederlassungen";"2018";"10 Marzahn-Hellersdorf";"0  bis     9";6843;
"Anzahl  Niederlassungen";"2018";"10 Marzahn-Hellersdorf";"10  bis   49";660;
"Anzahl  Niederlassungen";"2018";"10 Marzahn-Hellersdorf";"50  bis 249";147;
"Anzahl  Niederlassungen";"2018";"10 Marzahn-Hellersdorf";"250 und mehr";22;
"Anzahl  Niederlassungen";"2018";"11 Lichtenberg";"0  bis     9";7365;
"Anzahl  Niederlassungen";"2018";"11 Lichtenberg";"10  bis   49";665;
"Anzahl  Niederlassungen";"2018";"11 Lichtenberg";"50  bis 249";169;
"Anzahl  Niederlassungen";"2018";"11 Lichtenberg";"250 und mehr";34;
"Anzahl  Niederlassungen";"2018";"12 Reinickendorf";"0  bis     9";8814;
"Anzahl  Niederlassungen";"2018";"12 Reinickendorf";"10  bis   49";879;
"Anzahl  Niederlassungen";"2018";"12 Reinickendorf";"50  bis 249";220;
"Anzahl  Niederlassungen";"2018";"12 Reinickendorf";"250 und mehr";53;
"Anzahl  Niederlassungen";"2018";"51000 Brandenburg an der Havel, Stadt";"0  bis     9";2206;
"Anzahl  Niederlassungen";"2018";"51000 Brandenburg an der Havel, Stadt";"10  bis   49";317;
"Anzahl  Niederlassungen";"2018";"51000 Brandenburg an der Havel, Stadt";"50  bis 249";78;
"Anzahl  Niederlassungen";"2018";"51000 Brandenburg an der Havel, Stadt";"250 und mehr";15;
"Anzahl  Niederlassungen";"2018";"52000 Cottbus, Stadt";"0  bis     9";3634;
"Anzahl  Niederlassungen";"2018";"52000 Cottbus, Stadt";"10  bis   49";485;
"Anzahl  Niederlassungen";"2018";"52000 Cottbus, Stadt";"50  bis 249";140;
"Anzahl  Niederlassungen";"2018";"52000 Cottbus, Stadt";"250 und mehr";19;
"Anzahl  Niederlassungen";"2018";"53000 Frankfurt (Oder), Stadt";"0  bis     9";1952;
"Anzahl  Niederlassungen";"2018";"53000 Frankfurt (Oder), Stadt";"10  bis   49";285;
"Anzahl  Niederlassungen";"2018";"53000 Frankfurt (Oder), Stadt";"50  bis 249";96;
"Anzahl  Niederlassungen";"2018";"53000 Frankfurt (Oder), Stadt";"250 und mehr";10;
"Anzahl  Niederlassungen";"2018";"54000 Potsdam, Stadt";"0  bis     9";7427;
"Anzahl  Niederlassungen";"2018";"54000 Potsdam, Stadt";"10  bis   49";840;
